Slide_No,State,District,Latitude,Longitude,MaterialInvolved,Movement Type,History,Year,occurrence
ASM/HLKD/83D10/2016/58,Assam,Hailakandi,24.478972,92.682861,Debris,Slide,17 May 2016,2016.0,1
ASM/HLKD/83D10/2016/60,Assam,Hailakandi,24.515944,92.540889,Earth,Slide,18 May 2016,2016.0,1
AS/CHR/83D14/2020/7,Assam,Cachar,24.62,92.84,Debris,Slide,2019,2019.0,1
AS/CHR/83D14/2020/1,Assam,Cachar,24.64,92.98,Debris,Slide,2019,2019.0,1
ASM/CCR/83H2/2016/66,Assam,Cachar,24.645417,93.005361,Debris,Slide,31 August 2016,2016.0,1
AS/KAR/83D06/2009-10/AS-2,Assam,Karimganj,24.710833,92.481167,Debris,Slide,03 June 2010,2010.0,1
ASM/CHR/83D14/2020/0002,Assam,Cachar,24.72192,92.90381,Debris,Slide,05 June 2020,2020.0,1
ASM/KGJ/83D05/2020/0008,Assam,Karimganj,24.78002778,92.45372222,Earth,Slide,02 June 2020,2020.0,1
ASM/KGJ/83D05/2020/007,Assam,Karimganj,24.78380556,92.45563889,Earth,Slide,02 June 2020,2020.0,1
AS/CHR/83D09/2020/7,Assam,Cachar,24.97,92.72,Debris,Slide,2017,2017.0,1
AS/CHR/83D05/2020/2,Assam,Cachar,24.99,92.45,Debris,Slide,2016,2016.0,1
AS/DIM/83G4/2015/33,Assam,Dima Hasao,25.008,93.04,Earth,Slide,2014,2014.0,1
AS/CAC/83C4/2016/73,Assam,Cachar,25.029708,92.463967,Debris,Slide,2015,2015.0,1
AS/CAC/83C4/2016/74,Assam,Cachar,25.031431,92.463231,Debris,Slide,2015,2015.0,1
AS/CAC/83C4/2016/75,Assam,Cachar,25.032119,92.462636,Debris,Slide,2015,2015.0,1
AS/CAC/83C4/2016/76,Assam,Cachar,25.032989,92.462214,Debris,Slide,2015,2015.0,1
MEG/WJH/83C4/2016/45,Assam,Cachar,25.037203,92.450339,Debris,Slide,2015,2015.0,1
AS/DIM/83G4/2015/55,Assam,Dima Hasao,25.122,93.025,Earth,Slide,2014,2014.0,1
