SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly Rainfall (mm)
1,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,08-04-2024 05:30,257
2,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,18-05-2024 14:30,55
3,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,18-05-2024 15:30,50.5
4,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,20-05-2024 20:30,1
5,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,24-05-2024 20:30,2.5
6,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,01-06-2024 10:30,1
7,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,01-06-2024 12:30,0.5
8,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,03-06-2024 01:30,6.5
9,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,03-06-2024 02:30,17
10,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,03-06-2024 03:30,1.5
11,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,03-06-2024 04:30,0.5
12,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,03-06-2024 05:30,1
13,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,03-06-2024 06:30,1
