page,date,time_utc,latitude,longitude,current_intensity,central_pressure_hpa,pressure_drop_hpa,wind_speed_kt,event
2,24.05.2025,0000,17.0,73.0,1.5,998.0,3.0,25.0,Best track positions and other parameters of the Depression over Eastcentral Arabian Sea and adjoining south Konkan coast
2,24.05.2025,0300,17.0,73.2,1.5,998.0,3.0,25.0,Best track positions and other parameters of the Depression over Eastcentral Arabian Sea and adjoining south Konkan coast
2,24.05.2025,0600,17.0,73.3,1.5,998.0,3.0,25.0,Best track positions and other parameters of the Depression over Eastcentral Arabian Sea and adjoining south Konkan coast
2,24.05.2025,1200,17.2,74.3,,998.0,4.0,25.0,Best track positions and other parameters of the Depression over Eastcentral Arabian Sea and adjoining south Konkan coast
2,24.05.2025,1800,17.4,75.3,,998.0,4.0,25.0,Best track positions and other parameters of the Depression over Eastcentral Arabian Sea and adjoining south Konkan coast
3,29.05.2025,0000,20.8,88.3,1.5,988.0,4.0,25.0,Best track positions and other parameters of the Deep Depression Over Northwest Bay of Bengal off West Bengal-Bangladesh Coasts
3,29.05.2025,0300,21.3,88.3,2.0,986.0,5.0,30.0,Best track positions and other parameters of the Deep Depression Over Northwest Bay of Bengal off West Bengal-Bangladesh Coasts
3,29.05.2025,0600,22.0,88.4,,986.0,5.0,30.0,Best track positions and other parameters of the Deep Depression Over Northwest Bay of Bengal off West Bengal-Bangladesh Coasts
3,29.05.2025,1200,22.2,88.6,,987.0,5.0,30.0,Best track positions and other parameters of the Deep Depression Over Northwest Bay of Bengal off West Bengal-Bangladesh Coasts
3,29.05.2025,1800,23.0,89.2,,988.0,5.0,30.0,Best track positions and other parameters of the Deep Depression Over Northwest Bay of Bengal off West Bengal-Bangladesh Coasts
3,30.05.2025,0000,24.1,89.4,,990.0,4.0,25.0,Best track positions and other parameters of the Deep Depression Over Northwest Bay of Bengal off West Bengal-Bangladesh Coasts
3,30.05.2025,0300,24.3,89.6,,992.0,3.0,20.0,Best track positions and other parameters of the Deep Depression Over Northwest Bay of Bengal off West Bengal-Bangladesh Coasts
3,30.05.2025,0600,25.1,90.2,,992.0,3.0,20.0,Best track positions and other parameters of the Deep Depression Over Northwest Bay of Bengal off West Bengal-Bangladesh Coasts
4,14.07.2025,0600,23.0,88.8,,996.0,3.0,20.0,Best track positions and other parameters of the Depression over southeast Gangetic West Bengal and adjoining Bangladesh
4,14.07.2025,1200,23.3,88.4,,996.0,3.0,20.0,Best track positions and other parameters of the Depression over southeast Gangetic West Bengal and adjoining Bangladesh
4,14.07.2025,1800,23.5,88.0,,996.0,3.0,20.0,Best track positions and other parameters of the Depression over southeast Gangetic West Bengal and adjoining Bangladesh
4,15.07.2025,0000,24.0,86.7,,996.0,3.0,20.0,Best track positions and other parameters of the Depression over southeast Gangetic West Bengal and adjoining Bangladesh
4,15.07.2025,0300,27.4,75.4,,993.0,3.0,20.0,Best track positions and other parameters of the Depression over southeast Gangetic West Bengal and adjoining Bangladesh
4,15.07.2025,0600,27.7,75.0,,993.0,3.0,20.0,Best track positions and other parameters of the Depression over southeast Gangetic West Bengal and adjoining Bangladesh
4,15.07.2025,1200,29.0,73.7,,994.0,3.0,20.0,Best track positions and other parameters of the Depression over southeast Gangetic West Bengal and adjoining Bangladesh
4,15.07.2025,1800,29.2,73.5,,995.0,3.0,20.0,Best track positions and other parameters of the Depression over southeast Gangetic West Bengal and adjoining Bangladesh
5,17.07.2025,0000,25.2,81.8,,993.0,4.0,25.0,Best track positions and other parameters of the Depression over Southeast Uttar Pradesh
5,17.07.2025,0300,25.2,81.5,,993.0,4.0,25.0,Best track positions and other parameters of the Depression over Southeast Uttar Pradesh
5,17.07.2025,0600,25.3,81.2,,993.0,4.0,25.0,Best track positions and other parameters of the Depression over Southeast Uttar Pradesh
5,17.07.2025,1200,25.6,80.3,,993.0,4.0,25.0,Best track positions and other parameters of the Depression over Southeast Uttar Pradesh
5,17.07.2025,1800,25.8,79.8,,993.0,4.0,25.0,Best track positions and other parameters of the Depression over Southeast Uttar Pradesh
5,18.07.2025,0000,26.3,79.0,,993.0,4.0,25.0,Best track positions and other parameters of the Depression over Southeast Uttar Pradesh
5,18.07.2025,0300,26.4,78.5,,993.0,4.0,25.0,Best track positions and other parameters of the Depression over Southeast Uttar Pradesh
5,18.07.2025,0600,26.4,78.0,,993.0,4.0,25.0,Best track positions and other parameters of the Depression over Southeast Uttar Pradesh
5,18.07.2025,1200,27.0,77.2,,993.0,4.0,25.0,Best track positions and other parameters of the Depression over Southeast Uttar Pradesh
5,18.07.2025,1800,27.2,76.5,,993.0,4.0,25.0,Best track positions and other parameters of the Depression over Southeast Uttar Pradesh
5,19.07.2025,0000,27.4,75.1,,993.0,4.0,25.0,Best track positions and other parameters of the Depression over Southeast Uttar Pradesh
5,19.07.2025,0300,27.5,74.6,,993.0,3.0,20.0,Best track positions and other parameters of the Depression over Southeast Uttar Pradesh
5,19.07.2025,0600,27.5,74.2,,993.0,3.0,20.0,Best track positions and other parameters of the Depression over Southeast Uttar Pradesh
5,19.07.2025,1200,27.5,73.7,,993.0,3.0,20.0,Best track positions and other parameters of the Depression over Southeast Uttar Pradesh
5,19.07.2025,1800,27.5,73.0,,993.0,3.0,20.0,Best track positions and other parameters of the Depression over Southeast Uttar Pradesh
6,25.07.2025,0000,21.4,89.5,1.5,988.0,4.0,25.0,Best track positions and other parameters of the Depression over Northwest Bay of Bengal
6,25.07.2025,0300,21.7,88.8,,988.0,4.0,25.0,Best track positions and other parameters of the Depression over Northwest Bay of Bengal
6,25.07.2025,0600,22.0,88.4,,988.0,4.0,25.0,Best track positions and other parameters of the Depression over Northwest Bay of Bengal
6,25.07.2025,1200,22.6,87.4,,988.0,4.0,25.0,Best track positions and other parameters of the Depression over Northwest Bay of Bengal
6,25.07.2025,1800,23.0,86.6,,988.0,4.0,25.0,Best track positions and other parameters of the Depression over Northwest Bay of Bengal
6,26.07.2025,0000,23.3,85.0,,988.0,4.0,25.0,Best track positions and other parameters of the Depression over Northwest Bay of Bengal
6,26.07.2025,0300,23.3,84.0,,990.0,3.0,20.0,Best track positions and other parameters of the Depression over Northwest Bay of Bengal
6,26.07.2025,0600,23.3,82.3,,990.0,3.0,20.0,Best track positions and other parameters of the Depression over Northwest Bay of Bengal
6,26.07.2025,1200,23.3,81.7,,990.0,3.0,20.0,Best track positions and other parameters of the Depression over Northwest Bay of Bengal
6,26.07.2025,1800,23.3,81.0,,992.0,3.0,20.0,Best track positions and other parameters of the Depression over Northwest Bay of Bengal
6,18.08.2025,1200,18.9,85.0,1.5,996.0,3.0,20.0,Best track positions and other parameters of the Depression over Northwest Bay of Bengal
6,18.08.2025,1800,19.0,84.9,1.5,996.0,3.0,20.0,Best track positions and other parameters of the Depression over Northwest Bay of Bengal
6,19.08.2025,0000,19.3,84.8,,996.0,3.0,20.0,Best track positions and other parameters of the Depression over Northwest Bay of Bengal
6,19.08.2025,0300,19.8,84.0,,996.0,3.0,20.0,Best track positions and other parameters of the Depression over Northwest Bay of Bengal
6,19.08.2025,0600,20.0,83.3,,996.0,3.0,20.0,Best track positions and other parameters of the Depression over Northwest Bay of Bengal
7,06.09.2025,1800,25.0,72.5,,998.0,4.0,25.0,Best track positions and other parameters of the Land Deep Depression over Southwest Rajasthan and neighbourhood
7,07.09.2025,0000,24.3,72.2,,998.0,4.0,25.0,Best track positions and other parameters of the Land Deep Depression over Southwest Rajasthan and neighbourhood
7,07.09.2025,0300,24.2,71.8,,998.0,4.0,25.0,Best track positions and other parameters of the Land Deep Depression over Southwest Rajasthan and neighbourhood
7,07.09.2025,0600,24.3,71.4,,996.0,5.0,30.0,Best track positions and other parameters of the Land Deep Depression over Southwest Rajasthan and neighbourhood
7,07.09.2025,1200,24.5,71.2,,995.0,6.0,30.0,Best track positions and other parameters of the Land Deep Depression over Southwest Rajasthan and neighbourhood
7,07.09.2025,1800,24.6,71.0,,995.0,6.0,30.0,Best track positions and other parameters of the Land Deep Depression over Southwest Rajasthan and neighbourhood
7,08.09.2025,0000,24.8,70.7,,995.0,6.0,30.0,Best track positions and other parameters of the Land Deep Depression over Southwest Rajasthan and neighbourhood
7,08.09.2025,0300,25.0,70.5,,995.0,6.0,30.0,Best track positions and other parameters of the Land Deep Depression over Southwest Rajasthan and neighbourhood
7,08.09.2025,0600,25.3,70.2,,995.0,6.0,30.0,Best track positions and other parameters of the Land Deep Depression over Southwest Rajasthan and neighbourhood
7,08.09.2025,1200,25.8,69.5,,995.0,6.0,30.0,Best track positions and other parameters of the Land Deep Depression over Southwest Rajasthan and neighbourhood
7,08.09.2025,1800,25.9,69.0,,997.0,4.0,25.0,Best track positions and other parameters of the Land Deep Depression over Southwest Rajasthan and neighbourhood
7,09.09.2025,0000,25.8,68.7,,998.0,4.0,25.0,Best track positions and other parameters of the Land Deep Depression over Southwest Rajasthan and neighbourhood
7,09.09.2025,0300,25.4,68.4,,998.0,4.0,25.0,Best track positions and other parameters of the Land Deep Depression over Southwest Rajasthan and neighbourhood
7,09.09.2025,0600,25.2,68.2,,999.0,4.0,25.0,Best track positions and other parameters of the Land Deep Depression over Southwest Rajasthan and neighbourhood
7,09.09.2025,1200,25.0,67.7,,999.0,4.0,25.0,Best track positions and other parameters of the Land Deep Depression over Southwest Rajasthan and neighbourhood
7,09.09.2025,1800,24.9,67.1,,999.0,4.0,25.0,Best track positions and other parameters of the Land Deep Depression over Southwest Rajasthan and neighbourhood
7,10.09.2025,0000,24.8,66.3,1.5,1000.0,4.0,25.0,Best track positions and other parameters of the Land Deep Depression over Southwest Rajasthan and neighbourhood
7,10.09.2025,0300,24.8,65.8,1.5,1000.0,4.0,25.0,Best track positions and other parameters of the Land Deep Depression over Southwest Rajasthan and neighbourhood
7,10.09.2025,0600,24.8,65.3,1.5,1000.0,4.0,25.0,Best track positions and other parameters of the Land Deep Depression over Southwest Rajasthan and neighbourhood
7,10.09.2025,1200,24.8,64.4,1.5,1000.0,4.0,25.0,Best track positions and other parameters of the Land Deep Depression over Southwest Rajasthan and neighbourhood
7,10.09.2025,1800,24.8,63.5,1.5,1001.0,3.0,20.0,Best track positions and other parameters of the Land Deep Depression over Southwest Rajasthan and neighbourhood
8,26.09.2025,1200,19.3,86.1,1.5,998.0,4.0,25.0,Best track of Depression over northwest and adjoining westcentral Bay of Bengal off south Odisha-north Andhra Pradesh coasts
8,26.09.2025,1800,19.3,85.5,1.5,998.0,4.0,25.0,Best track of Depression over northwest and adjoining westcentral Bay of Bengal off south Odisha-north Andhra Pradesh coasts
8,27.09.2025,0000,19.3,84.8,,998.0,4.0,25.0,Best track of Depression over northwest and adjoining westcentral Bay of Bengal off south Odisha-north Andhra Pradesh coasts
8,27.09.2025,0300,19.3,84.2,,998.0,4.0,25.0,Best track of Depression over northwest and adjoining westcentral Bay of Bengal off south Odisha-north Andhra Pradesh coasts
8,27.09.2025,0600,19.3,83.4,,998.0,4.0,25.0,Best track of Depression over northwest and adjoining westcentral Bay of Bengal off south Odisha-north Andhra Pradesh coasts
8,27.09.2025,1200,19.7,81.5,,999.0,3.0,20.0,Best track of Depression over northwest and adjoining westcentral Bay of Bengal off south Odisha-north Andhra Pradesh coasts
8,27.09.2025,1800,20.3,79.5,,999.0,3.0,20.0,Best track of Depression over northwest and adjoining westcentral Bay of Bengal off south Odisha-north Andhra Pradesh coasts
8,28.09.2025,0000,20.3,77.0,,999.0,3.0,20.0,Best track of Depression over northwest and adjoining westcentral Bay of Bengal off south Odisha-north Andhra Pradesh coasts
9,01.10.2025,0600,15.8,86.5,1.5,998.0,3.0,25.0,Best track positions and other parameters of the Deep Depression over Westcentral Bay of Bengal
9,01.10.2025,1200,16.3,86.3,1.5,997.0,4.0,25.0,Best track positions and other parameters of the Deep Depression over Westcentral Bay of Bengal
9,01.10.2025,1800,16.8,86.0,2.0,996.0,5.0,30.0,Best track positions and other parameters of the Deep Depression over Westcentral Bay of Bengal
9,02.10.2025,0000,17.7,85.7,2.0,996.0,5.0,30.0,Best track positions and other parameters of the Deep Depression over Westcentral Bay of Bengal
9,02.10.2025,0300,18.0,85.6,2.0,995.0,6.0,30.0,Best track positions and other parameters of the Deep Depression over Westcentral Bay of Bengal
9,02.10.2025,0600,18.6,85.3,2.0,995.0,6.0,30.0,Best track positions and other parameters of the Deep Depression over Westcentral Bay of Bengal
9,02.10.2025,1200,19.4,84.9,,996.0,5.0,30.0,Best track positions and other parameters of the Deep Depression over Westcentral Bay of Bengal
9,02.10.2025,1800,19.8,84.4,,997.0,5.0,30.0,Best track positions and other parameters of the Deep Depression over Westcentral Bay of Bengal
9,03.10.2025,0000,20.2,84.1,,999.0,4.0,25.0,Best track positions and other parameters of the Deep Depression over Westcentral Bay of Bengal
9,03.10.2025,0300,20.7,83.7,,1000.0,4.0,25.0,Best track positions and other parameters of the Deep Depression over Westcentral Bay of Bengal
9,03.10.2025,0600,21.2,83.6,,1001.0,3.0,25.0,Best track positions and other parameters of the Deep Depression over Westcentral Bay of Bengal
10,01.10.2025,1200,22.0,68.3,1.5,1001.0,3.0,25.0,Best track positions and other parameters of the Severe Cyclonic Storm Shakhti over Arabian Sea
10,01.10.2025,1800,21.5,68.2,1.5,1001.0,3.0,25.0,Best track positions and other parameters of the Severe Cyclonic Storm Shakhti over Arabian Sea
10,02.10.2025,0000,21.0,68.0,1.5,1001.0,3.0,25.0,Best track positions and other parameters of the Severe Cyclonic Storm Shakhti over Arabian Sea
10,02.10.2025,0300,20.8,67.9,2.0,1001.0,3.0,25.0,Best track positions and other parameters of the Severe Cyclonic Storm Shakhti over Arabian Sea
10,02.10.2025,0600,20.8,67.9,2.0,1001.0,3.0,25.0,Best track positions and other parameters of the Severe Cyclonic Storm Shakhti over Arabian Sea
10,02.10.2025,1200,20.8,67.9,2.0,1001.0,3.0,25.0,Best track positions and other parameters of the Severe Cyclonic Storm Shakhti over Arabian Sea
10,02.10.2025,1800,20.8,67.7,2.0,1000.0,4.0,30.0,Best track positions and other parameters of the Severe Cyclonic Storm Shakhti over Arabian Sea
10,03.10.2025,0000,21.3,67.2,2.0,1000.0,4.0,30.0,Best track positions and other parameters of the Severe Cyclonic Storm Shakhti over Arabian Sea
10,03.10.2025,0300,21.5,67.0,2.0,999.0,5.0,30.0,Best track positions and other parameters of the Severe Cyclonic Storm Shakhti over Arabian Sea
10,03.10.2025,0600,21.7,66.8,2.5,997.0,7.0,35.0,Best track positions and other parameters of the Severe Cyclonic Storm Shakhti over Arabian Sea
10,03.10.2025,0900,21.8,66.6,2.5,997.0,7.0,35.0,Best track positions and other parameters of the Severe Cyclonic Storm Shakhti over Arabian Sea
10,03.10.2025,1200,22.0,66.4,2.5,996.0,8.0,40.0,Best track positions and other parameters of the Severe Cyclonic Storm Shakhti over Arabian Sea
10,03.10.2025,1500,22.1,66.2,3.0,996.0,8.0,40.0,Best track positions and other parameters of the Severe Cyclonic Storm Shakhti over Arabian Sea
10,03.10.2025,1800,22.0,65.8,3.0,994.0,10.0,45.0,Best track positions and other parameters of the Severe Cyclonic Storm Shakhti over Arabian Sea
10,03.10.2025,2100,22.0,65.6,3.0,994.0,10.0,45.0,Best track positions and other parameters of the Severe Cyclonic Storm Shakhti over Arabian Sea
10,04.10.2025,0000,22.0,65.0,3.0,992.0,12.0,50.0,Best track positions and other parameters of the Severe Cyclonic Storm Shakhti over Arabian Sea
10,04.10.2025,0300,22.0,64.5,3.5,990.0,15.0,55.0,Best track positions and other parameters of the Severe Cyclonic Storm Shakhti over Arabian Sea
10,04.10.2025,0600,21.9,64.2,3.5,990.0,15.0,55.0,Best track positions and other parameters of the Severe Cyclonic Storm Shakhti over Arabian Sea
10,04.10.2025,0900,21.8,63.8,3.5,990.0,15.0,55.0,Best track positions and other parameters of the Severe Cyclonic Storm Shakhti over Arabian Sea
10,04.10.2025,1200,21.7,63.6,3.5,990.0,15.0,55.0,Best track positions and other parameters of the Severe Cyclonic Storm Shakhti over Arabian Sea
10,04.10.2025,1500,21.5,63.0,3.5,990.0,15.0,55.0,Best track positions and other parameters of the Severe Cyclonic Storm Shakhti over Arabian Sea
