latitude,longitude,central_pressure_hpa,pressure_drop_hpa,wind_speed_kt,risk
17.0,73.0,998.0,3.0,25.0,0
17.0,73.2,998.0,3.0,25.0,0
17.0,73.3,998.0,3.0,25.0,0
17.2,74.3,998.0,4.0,25.0,0
17.4,75.3,998.0,4.0,25.0,0
20.8,88.3,988.0,4.0,25.0,0
21.3,88.3,986.0,5.0,30.0,0
22.0,88.4,986.0,5.0,30.0,0
22.2,88.6,987.0,5.0,30.0,0
23.0,89.2,988.0,5.0,30.0,0
24.1,89.4,990.0,4.0,25.0,0
24.3,89.6,992.0,3.0,20.0,0
25.1,90.2,992.0,3.0,20.0,0
23.0,88.8,996.0,3.0,20.0,0
23.3,88.4,996.0,3.0,20.0,0
23.5,88.0,996.0,3.0,20.0,0
24.0,86.7,996.0,3.0,20.0,0
27.4,75.4,993.0,3.0,20.0,0
27.7,75.0,993.0,3.0,20.0,0
29.0,73.7,994.0,3.0,20.0,0
29.2,73.5,995.0,3.0,20.0,0
25.2,81.8,993.0,4.0,25.0,0
25.2,81.5,993.0,4.0,25.0,0
25.3,81.2,993.0,4.0,25.0,0
25.6,80.3,993.0,4.0,25.0,0
25.8,79.8,993.0,4.0,25.0,0
26.3,79.0,993.0,4.0,25.0,0
26.4,78.5,993.0,4.0,25.0,0
26.4,78.0,993.0,4.0,25.0,0
27.0,77.2,993.0,4.0,25.0,0
27.2,76.5,993.0,4.0,25.0,0
27.4,75.1,993.0,4.0,25.0,0
27.5,74.6,993.0,3.0,20.0,0
27.5,74.2,993.0,3.0,20.0,0
27.5,73.7,993.0,3.0,20.0,0
27.5,73.0,993.0,3.0,20.0,0
21.4,89.5,988.0,4.0,25.0,0
21.7,88.8,988.0,4.0,25.0,0
22.0,88.4,988.0,4.0,25.0,0
22.6,87.4,988.0,4.0,25.0,0
23.0,86.6,988.0,4.0,25.0,0
23.3,85.0,988.0,4.0,25.0,0
23.3,84.0,990.0,3.0,20.0,0
23.3,82.3,990.0,3.0,20.0,0
23.3,81.7,990.0,3.0,20.0,0
23.3,81.0,992.0,3.0,20.0,0
18.9,85.0,996.0,3.0,20.0,0
19.0,84.9,996.0,3.0,20.0,0
19.3,84.8,996.0,3.0,20.0,0
19.8,84.0,996.0,3.0,20.0,0
20.0,83.3,996.0,3.0,20.0,0
25.0,72.5,998.0,4.0,25.0,0
24.3,72.2,998.0,4.0,25.0,0
24.2,71.8,998.0,4.0,25.0,0
24.3,71.4,996.0,5.0,30.0,0
24.5,71.2,995.0,6.0,30.0,0
24.6,71.0,995.0,6.0,30.0,0
24.8,70.7,995.0,6.0,30.0,0
25.0,70.5,995.0,6.0,30.0,0
25.3,70.2,995.0,6.0,30.0,0
25.8,69.5,995.0,6.0,30.0,0
25.9,69.0,997.0,4.0,25.0,0
25.8,68.7,998.0,4.0,25.0,0
25.4,68.4,998.0,4.0,25.0,0
25.2,68.2,999.0,4.0,25.0,0
25.0,67.7,999.0,4.0,25.0,0
24.9,67.1,999.0,4.0,25.0,0
24.8,66.3,1000.0,4.0,25.0,0
24.8,65.8,1000.0,4.0,25.0,0
24.8,65.3,1000.0,4.0,25.0,0
24.8,64.4,1000.0,4.0,25.0,0
24.8,63.5,1001.0,3.0,20.0,0
19.3,86.1,998.0,4.0,25.0,0
19.3,85.5,998.0,4.0,25.0,0
19.3,84.8,998.0,4.0,25.0,0
19.3,84.2,998.0,4.0,25.0,0
19.3,83.4,998.0,4.0,25.0,0
19.7,81.5,999.0,3.0,20.0,0
20.3,79.5,999.0,3.0,20.0,0
20.3,77.0,999.0,3.0,20.0,0
15.8,86.5,998.0,3.0,25.0,0
16.3,86.3,997.0,4.0,25.0,0
16.8,86.0,996.0,5.0,30.0,0
17.7,85.7,996.0,5.0,30.0,0
18.0,85.6,995.0,6.0,30.0,0
18.6,85.3,995.0,6.0,30.0,0
19.4,84.9,996.0,5.0,30.0,0
19.8,84.4,997.0,5.0,30.0,0
20.2,84.1,999.0,4.0,25.0,0
20.7,83.7,1000.0,4.0,25.0,0
21.2,83.6,1001.0,3.0,25.0,0
22.0,68.3,1001.0,3.0,25.0,0
21.5,68.2,1001.0,3.0,25.0,0
21.0,68.0,1001.0,3.0,25.0,0
20.8,67.9,1001.0,3.0,25.0,0
20.8,67.9,1001.0,3.0,25.0,0
20.8,67.9,1001.0,3.0,25.0,0
20.8,67.7,1000.0,4.0,30.0,0
21.3,67.2,1000.0,4.0,30.0,0
21.5,67.0,999.0,5.0,30.0,0
21.7,66.8,997.0,7.0,35.0,1
21.8,66.6,997.0,7.0,35.0,1
22.0,66.4,996.0,8.0,40.0,1
22.1,66.2,996.0,8.0,40.0,1
22.0,65.8,994.0,10.0,45.0,1
22.0,65.6,994.0,10.0,45.0,1
22.0,65.0,992.0,12.0,50.0,1
22.0,64.5,990.0,15.0,55.0,1
21.9,64.2,990.0,15.0,55.0,1
21.8,63.8,990.0,15.0,55.0,1
21.7,63.6,990.0,15.0,55.0,1
21.5,63.0,990.0,15.0,55.0,1
21.0,61.8,987.0,18.0,60.0,1
20.9,61.3,986.0,19.0,60.0,1
20.7,61.1,987.0,18.0,60.0,1
20.5,61.0,988.0,17.0,60.0,1
20.2,60.7,990.0,15.0,55.0,1
20.0,60.6,991.0,14.0,55.0,1
19.8,60.6,992.0,13.0,50.0,1
19.7,60.5,993.0,12.0,50.0,1
19.7,60.5,994.0,11.0,45.0,1
19.7,60.4,994.0,11.0,45.0,1
19.7,60.3,995.0,9.0,40.0,1
19.6,60.3,996.0,8.0,40.0,1
19.6,60.2,997.0,7.0,35.0,1
19.6,60.1,998.0,6.0,35.0,1
19.5,60.1,999.0,5.0,30.0,0
19.2,60.3,999.0,5.0,30.0,0
19.0,60.5,1001.0,4.0,25.0,0
18.9,60.7,1002.0,3.0,20.0,0
10.8,89.0,1003.0,3.0,20.0,0
10.8,88.8,1002.0,4.0,25.0,0
10.8,88.6,1002.0,4.0,25.0,0
10.9,88.1,1002.0,4.0,25.0,0
11.0,87.7,1002.0,4.0,25.0,0
11.1,87.3,1000.0,5.0,30.0,0
11.2,87.1,998.0,6.0,30.0,0
11.3,86.9,998.0,6.0,30.0,0
11.4,86.6,998.0,6.0,30.0,0
11.6,85.9,997.0,7.0,35.0,1
11.9,85.5,997.0,7.0,35.0,1
12.2,85.3,997.0,7.0,35.0,1
12.6,84.9,996.0,8.0,40.0,1
12.8,84.6,996.0,8.0,40.0,1
13.0,84.2,995.0,9.0,40.0,1
13.3,84.0,994.0,10.0,45.0,1
13.6,83.8,994.0,10.0,45.0,1
14.0,83.5,993.0,11.0,45.0,1
14.4,83.3,992.0,12.0,45.0,1
14.7,83.0,991.0,13.0,50.0,1
14.9,82.9,991.0,13.0,50.0,1
15.2,82.7,991.0,13.0,50.0,1
15.6,82.5,990.0,14.0,50.0,1
